等级,代码,名称,现价,量比,历史胜率,周线RSI,距60日线,今日涨跌
S-周线底启动,600516,方大炭素,5.1,0.59,50.0%,25.3,9.7%,0.4%
S-周线底启动,600182,S佳通,13.45,0.54,50.0%,31.9,4.0%,1.1%
S-周线底启动,002545,东方铁塔,16.4,0.94,50.0%,6.2,27.6%,1.1%
S-周线底启动,000973,佛塑科技,12.44,1.08,50.0%,25.8,26.6%,6.1%
S-周线底启动,603876,鼎胜新材,20.96,0.98,50.0%,22.8,26.3%,2.4%
S-周线底启动,002810,山东赫达,20.83,0.59,50.0%,30.5,18.8%,1.7%
S-周线底启动,600884,杉杉股份,12.14,0.6,0.0%,18.0,18.3%,-0.3%
S-周线底启动,002833,弘亚数控,16.66,0.54,50.0%,24.3,13.3%,2.3%
